model,dataset,scenario,group,n_labels,mean_precision,mean_recall,mean_f1,median_f1,f1_zero_pct,total_test_support
ModernBERT,joint,G0,Medium,77,0.7477797445586236,0.5807079948228274,0.6361356176117304,0.6486486486486487,0.0,785
ModernBERT,joint,G0,Tail,66,0.5510101010101011,0.3744949494949495,0.4185064935064935,0.5,37.87878787878788,172
ModernBERT,joint,B1,Head,45,0.8374932878070426,0.718992764786738,0.7693531416846544,0.7885714285714286,0.0,3258
ModernBERT,joint,B1,Medium,77,0.7824486319103543,0.5362954005059268,0.6215622119149786,0.625,2.5974025974025974,785
ModernBERT,joint,B1,Tail,66,0.5505050505050504,0.3469696969696969,0.399062049062049,0.45,40.909090909090914,172
ModernBERT,joint,G1,Head,45,0.8086381908799863,0.7557031739747013,0.7782170987081672,0.7891891891891892,0.0,3258
ModernBERT,joint,G1,Medium,77,0.7922138357690808,0.5719001420846943,0.6481296933619816,0.6666666666666666,0.0,785
ModernBERT,joint,G1,Tail,66,0.571969696969697,0.3679292929292929,0.4208513708513708,0.45,37.87878787878788,172
ModernBERT,joint,B2,Head,45,0.8028099793516557,0.76588465803964,0.7803983405487054,0.7951807228915663,0.0,3258
ModernBERT,joint,B2,Medium,77,0.7755462611539969,0.5845645555932636,0.6512619511879045,0.6666666666666666,0.0,785
ModernBERT,joint,B2,Tail,66,0.5909090909090909,0.3406565656565656,0.4095959595959595,0.45,34.84848484848485,172
ModernBERT,tram,A0,Head,22,0.8199266677512566,0.8004774540680036,0.8065575621836174,0.8182867697991226,0.0,1258
ModernBERT,tram,A0,Medium,25,0.8314426423249954,0.711347110129517,0.7604806466584297,0.7894736842105263,0.0,370
ModernBERT,tram,A0,Tail,3,0.3333333333333333,0.1111111111111111,0.1666666666666666,0.0,66.66666666666666,9
ModernBERT,tram,G0,Head,22,0.7793536529164702,0.81127604309093,0.792890888083324,0.8087813620071684,0.0,1258
ModernBERT,tram,G0,Medium,25,0.7793905546525685,0.777382678560428,0.7714888554127147,0.8,0.0,370
ModernBERT,tram,G0,Tail,3,0.75,0.6388888888888888,0.5878787878787879,0.4,0.0,9
ModernBERT,tram,B1,Head,22,0.8408191278364854,0.7860122825852239,0.8109480611384811,0.8105263157894738,0.0,1258
ModernBERT,tram,B1,Medium,25,0.8321226200699886,0.7089315426127246,0.7571742973586685,0.7878787878787878,0.0,370
ModernBERT,tram,B1,Tail,3,0.6333333333333333,0.6388888888888888,0.611111111111111,0.5,0.0,9
ModernBERT,tram,G1,Head,22,0.8382283711310752,0.7884313437148648,0.808134972896267,0.8125569290826284,0.0,1258
ModernBERT,tram,G1,Medium,25,0.8719374253197781,0.7140288752168548,0.7707784936763207,0.8,0.0,370
ModernBERT,tram,G1,Tail,3,0.8888888888888888,0.4722222222222221,0.5777777777777778,0.6666666666666666,0.0,9
ModernBERT,tram,B2,Head,22,0.827976880162425,0.8168768897142297,0.8200425309592133,0.8317110655737705,0.0,1258
ModernBERT,tram,B2,Medium,25,0.8449591538077713,0.7559320046475115,0.7863715001005046,0.8205128205128205,0.0,370
ModernBERT,tram,B2,Tail,3,1.0,0.6388888888888888,0.7333333333333334,0.8,0.0,9
SecureBERT,cti-mitre,A0,Head,30,0.797652567152505,0.8194524777328255,0.805982086282873,0.8176638176638176,0.0,1426
SecureBERT,cti-mitre,A0,Medium,89,0.754284377860199,0.5815008427364046,0.6326869357410765,0.7,3.3707865168539324,973
SecureBERT,cti-mitre,A0,Tail,69,0.3504830917874396,0.1596618357487922,0.206234184495054,0.0,60.86956521739131,183
SecureBERT,cti-mitre,G0,Head,30,0.8405315188976373,0.7928866991274598,0.8124625086952744,0.8207407407407408,0.0,1426
SecureBERT,cti-mitre,G0,Medium,89,0.7868929311219319,0.5822326794088762,0.6385094265859752,0.6666666666666666,1.1235955056179776,973
SecureBERT,cti-mitre,G0,Tail,69,0.4369565217391304,0.2934782608695652,0.3350471589602024,0.3333333333333333,42.028985507246375,183
SecureBERT,cti-mitre,B1,Head,30,0.832045747609002,0.7929889019538725,0.8084190146185234,0.8250980392156863,0.0,1426
