Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1567,22,Medium,78,3,6,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.49,True
T1568,44,Medium,78,6,11,3,1,8,0.75,0.2727272727272727,0.39999999999999997,0.49,True
T1569,78,Medium,78,10,20,8,12,12,0.4,0.4,0.4000000000000001,0.49,True
T1570,99,Medium,90,12,25,6,1,19,0.8571428571428571,0.24,0.375,0.49,True
T1571,26,Medium,78,3,7,5,3,2,0.625,0.7142857142857143,0.6666666666666666,0.49,True
T1572,16,Tail,78,2,4,2,7,2,0.2222222222222222,0.5,0.30769230769230765,0.49,True
T1573,236,Head,206,30,59,30,10,29,0.75,0.5084745762711864,0.6060606060606061,0.49,True
T1574,248,Head,217,31,62,31,5,31,0.8611111111111112,0.5,0.6326530612244898,0.49,True
T1578,15,Tail,78,2,4,1,2,3,0.3333333333333333,0.25,0.28571428571428575,0.49,True
T1580,8,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1583,59,Medium,78,7,15,6,16,9,0.2727272727272727,0.4,0.3243243243243243,0.49,True
T1584,35,Medium,78,4,9,4,1,5,0.8,0.4444444444444444,0.5714285714285714,0.49,True
T1585,29,Medium,78,4,7,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.49,True
T1586,22,Medium,78,3,6,5,7,1,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.49,True
T1587,38,Medium,78,5,10,4,3,6,0.5714285714285714,0.4,0.47058823529411764,0.49,True
T1588,85,Medium,78,11,21,9,0,12,1.0,0.42857142857142855,0.6,0.49,True
T1589,26,Medium,78,3,6,3,3,3,0.5,0.5,0.5,0.49,True
T1590,28,Medium,78,4,7,4,3,3,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.49,True
T1591,20,Medium,78,3,5,2,2,3,0.5,0.4,0.4444444444444445,0.49,True
T1592,20,Medium,79,3,5,3,4,2,0.42857142857142855,0.6,0.5,0.49,True
T1593,13,Tail,78,2,3,2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.49,True
T1594,5,Tail,78,1,1,0,1,1,0.0,0.0,0.0,0.49,True
T1595,15,Tail,78,2,4,1,0,3,1.0,0.25,0.4,0.49,True
T1596,27,Medium,78,3,7,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.49,True
T1597,12,Tail,78,2,3,0,0,3,0.0,0.0,0.0,0.49,True
T1598,26,Medium,78,3,7,1,2,6,0.3333333333333333,0.14285714285714285,0.2,0.49,True
T1599,15,Tail,78,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1600,13,Tail,78,2,3,1,0,2,1.0,0.3333333333333333,0.5,0.49,True
T1601,27,Medium,78,3,7,2,7,5,0.2222222222222222,0.2857142857142857,0.25,0.49,True
T1602,14,Tail,78,2,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.49,True
T1606,21,Medium,78,3,5,3,0,2,1.0,0.6,0.7499999999999999,0.49,True
T1608,47,Medium,78,6,12,1,2,11,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.49,True
T1609,6,Tail,78,1,2,1,1,1,0.5,0.5,0.5,0.49,True
T1610,7,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1611,9,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
T1612,4,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1613,6,Tail,78,1,1,0,2,1,0.0,0.0,0.0,0.49,True
T1614,28,Medium,78,4,7,1,2,6,0.3333333333333333,0.14285714285714285,0.2,0.49,True
T1615,6,Tail,79,1,1,0,1,1,0.0,0.0,0.0,0.49,True
T1619,4,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1620,8,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
